pH,N,P,K,organic_matter,soil_type
5,30,15,40,4,Poor
6.8,70,45,70,8,Fertile
5,30,15,40,4,Poor
5,30,15,40,4,Poor
7.5,90,25,90,7,Moderate
5,30,15,40,4,Poor
7,60,20,60,5,Moderate
6.5,80,30,80,6,Moderate
5.8,50,10,50,5,Moderate
5.5,120,55,120,9,Fertile
6.8,70,45,70,8,Fertile
7.5,90,25,90,7,Moderate
6.8,70,45,70,8,Fertile
7,60,20,60,5,Moderate
4.5,10,5,20,2,Poor
6.5,80,30,80,6,Moderate
4.5,10,5,20,2,Poor
5.8,50,10,50,5,Moderate
7.5,90,25,90,7,Moderate
5.8,50,10,50,5,Moderate
7,60,20,60,5,Moderate
6.8,70,45,70,8,Fertile
5,30,15,40,4,Poor
6.8,70,45,70,8,Fertile
6.8,70,45,70,8,Fertile
7.5,90,25,90,7,Moderate
5.8,50,10,50,5,Moderate
6.5,80,30,80,6,Moderate
4.5,10,5,20,2,Poor
7,60,20,60,5,Moderate
4.5,10,5,20,2,Poor
7.5,90,25,90,7,Moderate
5.8,50,10,50,5,Moderate
4.5,10,5,20,2,Poor
5,30,15,40,4,Poor
7,60,20,60,5,Moderate
4.5,10,5,20,2,Poor
7.5,90,25,90,7,Moderate
6.5,80,30,80,6,Moderate
6.8,70,45,70,8,Fertile
6.5,80,30,80,6,Moderate
5.5,120,55,120,9,Fertile
6.8,70,45,70,8,Fertile
5.5,120,55,120,9,Fertile
7,60,20,60,5,Moderate
5.5,120,55,120,9,Fertile
5.8,50,10,50,5,Moderate
6.5,80,30,80,6,Moderate
6.8,70,45,70,8,Fertile
6.5,80,30,80,6,Moderate
6.5,80,30,80,6,Moderate
6.5,80,30,80,6,Moderate
4.5,10,5,20,2,Poor
7.5,90,25,90,7,Moderate
6.5,80,30,80,6,Moderate
5.8,50,10,50,5,Moderate
7.5,90,25,90,7,Moderate
7,60,20,60,5,Moderate
5.8,50,10,50,5,Moderate
7,60,20,60,5,Moderate
5.5,120,55,120,9,Fertile
7.5,90,25,90,7,Moderate
4.5,10,5,20,2,Poor
7.5,90,25,90,7,Moderate
6.8,70,45,70,8,Fertile
5,30,15,40,4,Poor
6.8,70,45,70,8,Fertile
7.5,90,25,90,7,Moderate
5,30,15,40,4,Poor
7.5,90,25,90,7,Moderate
5.5,120,55,120,9,Fertile
4.5,10,5,20,2,Poor
5.5,120,55,120,9,Fertile
5.5,120,55,120,9,Fertile
6.8,70,45,70,8,Fertile
5.5,120,55,120,9,Fertile
6.8,70,45,70,8,Fertile
7.5,90,25,90,7,Moderate
6.5,80,30,80,6,Moderate
7,60,20,60,5,Moderate
5,30,15,40,4,Poor
6.5,80,30,80,6,Moderate
5.5,120,55,120,9,Fertile
6.8,70,45,70,8,Fertile
5.8,50,10,50,5,Moderate
6.5,80,30,80,6,Moderate
5.5,120,55,120,9,Fertile
7,60,20,60,5,Moderate
5.5,120,55,120,9,Fertile
5.5,120,55,120,9,Fertile
7,60,20,60,5,Moderate
7,60,20,60,5,Moderate
5.5,120,55,120,9,Fertile
7.5,90,25,90,7,Moderate
6.8,70,45,70,8,Fertile
6.5,80,30,80,6,Moderate
5,30,15,40,4,Poor
6.8,70,45,70,8,Fertile
5,30,15,40,4,Poor
6.5,80,30,80,6,Moderate
5.8,50,10,50,5,Moderate
5,30,15,40,4,Poor
6.5,80,30,80,6,Moderate
7,60,20,60,5,Moderate
7.5,90,25,90,7,Moderate
5,30,15,40,4,Poor
6.5,80,30,80,6,Moderate
7,60,20,60,5,Moderate
5.5,120,55,120,9,Fertile
6.8,70,45,70,8,Fertile
7.5,90,25,90,7,Moderate
6.5,80,30,80,6,Moderate
7,60,20,60,5,Moderate
5.5,120,55,120,9,Fertile
7.5,90,25,90,7,Moderate
6.8,70,45,70,8,Fertile
4.5,10,5,20,2,Poor
7.5,90,25,90,7,Moderate
6.5,80,30,80,6,Moderate
6.5,80,30,80,6,Moderate
5,30,15,40,4,Poor
7.5,90,25,90,7,Moderate
5,30,15,40,4,Poor
6.8,70,45,70,8,Fertile
6.5,80,30,80,6,Moderate
7,60,20,60,5,Moderate
7,60,20,60,5,Moderate
5,30,15,40,4,Poor
7.5,90,25,90,7,Moderate
5.5,120,55,120,9,Fertile
5.8,50,10,50,5,Moderate
5.8,50,10,50,5,Moderate
5.8,50,10,50,5,Moderate
6.8,70,45,70,8,Fertile
4.5,10,5,20,2,Poor
6.8,70,45,70,8,Fertile
7,60,20,60,5,Moderate
5,30,15,40,4,Poor
4.5,10,5,20,2,Poor
7.5,90,25,90,7,Moderate
6.5,80,30,80,6,Moderate
6.8,70,45,70,8,Fertile
7,60,20,60,5,Moderate
7,60,20,60,5,Moderate
7,60,20,60,5,Moderate
4.5,10,5,20,2,Poor
4.5,10,5,20,2,Poor
5,30,15,40,4,Poor
5.5,120,55,120,9,Fertile
5.5,120,55,120,9,Fertile
6.8,70,45,70,8,Fertile
6.5,80,30,80,6,Moderate
5,30,15,40,4,Poor
5,30,15,40,4,Poor
7,60,20,60,5,Moderate
7.5,90,25,90,7,Moderate
6.8,70,45,70,8,Fertile
4.5,10,5,20,2,Poor
6.8,70,45,70,8,Fertile
5,30,15,40,4,Poor
4.5,10,5,20,2,Poor
7.5,90,25,90,7,Moderate
5.8,50,10,50,5,Moderate
4.5,10,5,20,2,Poor
5.8,50,10,50,5,Moderate
7.5,90,25,90,7,Moderate
6.5,80,30,80,6,Moderate
5.5,120,55,120,9,Fertile
5.5,120,55,120,9,Fertile
6.8,70,45,70,8,Fertile
7.5,90,25,90,7,Moderate
4.5,10,5,20,2,Poor
7.5,90,25,90,7,Moderate
7,60,20,60,5,Moderate
5.8,50,10,50,5,Moderate
4.5,10,5,20,2,Poor
7,60,20,60,5,Moderate
5.8,50,10,50,5,Moderate
6.5,80,30,80,6,Moderate
5,30,15,40,4,Poor
7,60,20,60,5,Moderate
6.5,80,30,80,6,Moderate
7,60,20,60,5,Moderate
7.5,90,25,90,7,Moderate
4.5,10,5,20,2,Poor
5.8,50,10,50,5,Moderate
4.5,10,5,20,2,Poor
5.5,120,55,120,9,Fertile
5.8,50,10,50,5,Moderate
5,30,15,40,4,Poor
7,60,20,60,5,Moderate
7,60,20,60,5,Moderate
6.5,80,30,80,6,Moderate
5,30,15,40,4,Poor
4.5,10,5,20,2,Poor
7.5,90,25,90,7,Moderate
7,60,20,60,5,Moderate
5,30,15,40,4,Poor
6.5,80,30,80,6,Moderate
6.8,70,45,70,8,Fertile
7,60,20,60,5,Moderate
6.8,70,45,70,8,Fertile
5.5,120,55,120,9,Fertile
6.5,80,30,80,6,Moderate
5.8,50,10,50,5,Moderate
5.8,50,10,50,5,Moderate
5,30,15,40,4,Poor
7.5,90,25,90,7,Moderate
5,30,15,40,4,Poor
6.5,80,30,80,6,Moderate
4.5,10,5,20,2,Poor
4.5,10,5,20,2,Poor
6.8,70,45,70,8,Fertile
4.5,10,5,20,2,Poor
6.5,80,30,80,6,Moderate
7,60,20,60,5,Moderate
5.5,120,55,120,9,Fertile
7.5,90,25,90,7,Moderate
6.5,80,30,80,6,Moderate
5,30,15,40,4,Poor
5.5,120,55,120,9,Fertile
7,60,20,60,5,Moderate
5.5,120,55,120,9,Fertile
7.5,90,25,90,7,Moderate
7.5,90,25,90,7,Moderate
6.8,70,45,70,8,Fertile
5.5,120,55,120,9,Fertile
7.5,90,25,90,7,Moderate
7,60,20,60,5,Moderate
5,30,15,40,4,Poor
7,60,20,60,5,Moderate
5.5,120,55,120,9,Fertile
5,30,15,40,4,Poor
7,60,20,60,5,Moderate
5,30,15,40,4,Poor
6.5,80,30,80,6,Moderate
6.8,70,45,70,8,Fertile
6.5,80,30,80,6,Moderate
4.5,10,5,20,2,Poor
5.8,50,10,50,5,Moderate
7,60,20,60,5,Moderate
5.5,120,55,120,9,Fertile
7.5,90,25,90,7,Moderate
4.5,10,5,20,2,Poor
6.8,70,45,70,8,Fertile
7.5,90,25,90,7,Moderate
6.8,70,45,70,8,Fertile
5.5,120,55,120,9,Fertile
6.8,70,45,70,8,Fertile
6.8,70,45,70,8,Fertile
4.5,10,5,20,2,Poor
5.5,120,55,120,9,Fertile
5.5,120,55,120,9,Fertile
6.8,70,45,70,8,Fertile
7,60,20,60,5,Moderate
5.5,120,55,120,9,Fertile
4.5,10,5,20,2,Poor
7,60,20,60,5,Moderate
4.5,10,5,20,2,Poor
7,60,20,60,5,Moderate
5.5,120,55,120,9,Fertile
5.5,120,55,120,9,Fertile
5.8,50,10,50,5,Moderate
5.5,120,55,120,9,Fertile
6.5,80,30,80,6,Moderate
5.8,50,10,50,5,Moderate
5.5,120,55,120,9,Fertile
6.8,70,45,70,8,Fertile
5.5,120,55,120,9,Fertile
6.5,80,30,80,6,Moderate
5.8,50,10,50,5,Moderate
7,60,20,60,5,Moderate
5.8,50,10,50,5,Moderate
6.5,80,30,80,6,Moderate
6.5,80,30,80,6,Moderate
7.5,90,25,90,7,Moderate
5.8,50,10,50,5,Moderate
5.8,50,10,50,5,Moderate
5,30,15,40,4,Poor
6.8,70,45,70,8,Fertile
7.5,90,25,90,7,Moderate
6.5,80,30,80,6,Moderate
5.8,50,10,50,5,Moderate
5,30,15,40,4,Poor
7.5,90,25,90,7,Moderate
7,60,20,60,5,Moderate
7.5,90,25,90,7,Moderate
5.8,50,10,50,5,Moderate
7,60,20,60,5,Moderate
5.8,50,10,50,5,Moderate
4.5,10,5,20,2,Poor
5,30,15,40,4,Poor
5,30,15,40,4,Poor
5.5,120,55,120,9,Fertile
6.5,80,30,80,6,Moderate
6.5,80,30,80,6,Moderate
4.5,10,5,20,2,Poor
4.5,10,5,20,2,Poor
7,60,20,60,5,Moderate
7,60,20,60,5,Moderate
7,60,20,60,5,Moderate
5.8,50,10,50,5,Moderate
5,30,15,40,4,Poor
7.5,90,25,90,7,Moderate
7.5,90,25,90,7,Moderate
4.5,10,5,20,2,Poor
5.8,50,10,50,5,Moderate
5.8,50,10,50,5,Moderate
6.8,70,45,70,8,Fertile
4.5,10,5,20,2,Poor
4.5,10,5,20,2,Poor
7.5,90,25,90,7,Moderate
7,60,20,60,5,Moderate
7.5,90,25,90,7,Moderate
6.8,70,45,70,8,Fertile
6.8,70,45,70,8,Fertile
4.5,10,5,20,2,Poor
5,30,15,40,4,Poor
7,60,20,60,5,Moderate
5.8,50,10,50,5,Moderate
7.5,90,25,90,7,Moderate
5.8,50,10,50,5,Moderate
6.5,80,30,80,6,Moderate
5,30,15,40,4,Poor
5.8,50,10,50,5,Moderate
6.8,70,45,70,8,Fertile
6.5,80,30,80,6,Moderate
6.5,80,30,80,6,Moderate
5.8,50,10,50,5,Moderate
4.5,10,5,20,2,Poor
6.8,70,45,70,8,Fertile
5.5,120,55,120,9,Fertile
7,60,20,60,5,Moderate
7.5,90,25,90,7,Moderate
7.5,90,25,90,7,Moderate
4.5,10,5,20,2,Poor
5.8,50,10,50,5,Moderate
6.8,70,45,70,8,Fertile
6.5,80,30,80,6,Moderate
6.5,80,30,80,6,Moderate
7,60,20,60,5,Moderate
6.8,70,45,70,8,Fertile
5.8,50,10,50,5,Moderate
5.5,120,55,120,9,Fertile
6.5,80,30,80,6,Moderate
6.8,70,45,70,8,Fertile
5,30,15,40,4,Poor
5,30,15,40,4,Poor
4.5,10,5,20,2,Poor
5.8,50,10,50,5,Moderate
7.5,90,25,90,7,Moderate
5.5,120,55,120,9,Fertile
5.8,50,10,50,5,Moderate
5.5,120,55,120,9,Fertile
6.8,70,45,70,8,Fertile
7.5,90,25,90,7,Moderate
7,60,20,60,5,Moderate
5.5,120,55,120,9,Fertile
5.5,120,55,120,9,Fertile
5.8,50,10,50,5,Moderate
5.8,50,10,50,5,Moderate
6.8,70,45,70,8,Fertile
6.5,80,30,80,6,Moderate
6.8,70,45,70,8,Fertile
7,60,20,60,5,Moderate
5,30,15,40,4,Poor
6.5,80,30,80,6,Moderate
7,60,20,60,5,Moderate
6.5,80,30,80,6,Moderate
5.5,120,55,120,9,Fertile
5,30,15,40,4,Poor
5.5,120,55,120,9,Fertile
5,30,15,40,4,Poor
6.8,70,45,70,8,Fertile
5.8,50,10,50,5,Moderate
6.5,80,30,80,6,Moderate
6.8,70,45,70,8,Fertile
6.8,70,45,70,8,Fertile
7,60,20,60,5,Moderate
7,60,20,60,5,Moderate
6.8,70,45,70,8,Fertile
5.5,120,55,120,9,Fertile
6.8,70,45,70,8,Fertile
7.5,90,25,90,7,Moderate
6.5,80,30,80,6,Moderate
5.8,50,10,50,5,Moderate
6.8,70,45,70,8,Fertile
5,30,15,40,4,Poor
6.8,70,45,70,8,Fertile
7,60,20,60,5,Moderate
6.5,80,30,80,6,Moderate
5.8,50,10,50,5,Moderate
6.5,80,30,80,6,Moderate
6.8,70,45,70,8,Fertile
4.5,10,5,20,2,Poor
6.8,70,45,70,8,Fertile
5,30,15,40,4,Poor
6.5,80,30,80,6,Moderate
5.8,50,10,50,5,Moderate
7,60,20,60,5,Moderate
7.5,90,25,90,7,Moderate
5.8,50,10,50,5,Moderate
5.8,50,10,50,5,Moderate
5.5,120,55,120,9,Fertile
5,30,15,40,4,Poor
6.8,70,45,70,8,Fertile
4.5,10,5,20,2,Poor
7,60,20,60,5,Moderate
7.5,90,25,90,7,Moderate
6.8,70,45,70,8,Fertile
6.5,80,30,80,6,Moderate
6.8,70,45,70,8,Fertile
6.5,80,30,80,6,Moderate
5.8,50,10,50,5,Moderate
6.5,80,30,80,6,Moderate
5.8,50,10,50,5,Moderate
4.5,10,5,20,2,Poor
6.5,80,30,80,6,Moderate
7.5,90,25,90,7,Moderate
6.5,80,30,80,6,Moderate
6.8,70,45,70,8,Fertile
7.5,90,25,90,7,Moderate
4.5,10,5,20,2,Poor
7,60,20,60,5,Moderate
6.5,80,30,80,6,Moderate
6.5,80,30,80,6,Moderate
5,30,15,40,4,Poor
6.5,80,30,80,6,Moderate
5,30,15,40,4,Poor
7.5,90,25,90,7,Moderate
7,60,20,60,5,Moderate
5,30,15,40,4,Poor
4.5,10,5,20,2,Poor
6.5,80,30,80,6,Moderate
5.8,50,10,50,5,Moderate
5,30,15,40,4,Poor
6.5,80,30,80,6,Moderate
7,60,20,60,5,Moderate
5,30,15,40,4,Poor
7.5,90,25,90,7,Moderate
6.8,70,45,70,8,Fertile
5.5,120,55,120,9,Fertile
5.5,120,55,120,9,Fertile
6.8,70,45,70,8,Fertile
4.5,10,5,20,2,Poor
5.5,120,55,120,9,Fertile
7,60,20,60,5,Moderate
6.8,70,45,70,8,Fertile
6.5,80,30,80,6,Moderate
5.8,50,10,50,5,Moderate
4.5,10,5,20,2,Poor
6.8,70,45,70,8,Fertile
5.8,50,10,50,5,Moderate
5.5,120,55,120,9,Fertile
7,60,20,60,5,Moderate
5.5,120,55,120,9,Fertile
7,60,20,60,5,Moderate
7,60,20,60,5,Moderate
5.5,120,55,120,9,Fertile
7.5,90,25,90,7,Moderate
6.8,70,45,70,8,Fertile
5,30,15,40,4,Poor
6.8,70,45,70,8,Fertile
6.8,70,45,70,8,Fertile
4.5,10,5,20,2,Poor
5.5,120,55,120,9,Fertile
7,60,20,60,5,Moderate
5.8,50,10,50,5,Moderate
4.5,10,5,20,2,Poor
7,60,20,60,5,Moderate
6.8,70,45,70,8,Fertile
5.8,50,10,50,5,Moderate
5.8,50,10,50,5,Moderate
5,30,15,40,4,Poor
5.5,120,55,120,9,Fertile
5,30,15,40,4,Poor
5.8,50,10,50,5,Moderate
4.5,10,5,20,2,Poor
6.5,80,30,80,6,Moderate
7.5,90,25,90,7,Moderate
6.8,70,45,70,8,Fertile
5.8,50,10,50,5,Moderate
6.8,70,45,70,8,Fertile
4.5,10,5,20,2,Poor
7,60,20,60,5,Moderate
5.8,50,10,50,5,Moderate
6.8,70,45,70,8,Fertile
7.5,90,25,90,7,Moderate
7.5,90,25,90,7,Moderate
5.8,50,10,50,5,Moderate
6.8,70,45,70,8,Fertile
6.5,80,30,80,6,Moderate
6.5,80,30,80,6,Moderate
5,30,15,40,4,Poor
4.5,10,5,20,2,Poor
7,60,20,60,5,Moderate
7.5,90,25,90,7,Moderate
7.5,90,25,90,7,Moderate
6.5,80,30,80,6,Moderate
5,30,15,40,4,Poor
